Glenmorangie Nectar D'Or 750ML*Rs. 8,080
Glenmorangie Original 10yrs 750ML*Rs. 7,130
Glenmorangie Quinta Ruban 750ML*Rs. 11,200
Golden Oak 750ML*Rs. 800
Grant's 1L*Rs. 4,400
Grant's 750ML*Rs. 3,670
Haig Gold Label 1L*Rs. 4,725
Hibiki Suntory Harmony 700ML*Rs. 13,500
J&B Rare 1L*Rs. 4,680
Jack Daniel's 375ML*Rs. 2,425
Chivas Regal 12yrs 750ML*Rs. 5,190
Chivas Regal 18yrs 1L*Rs. 13,200
Chivas Regal 18yrs 750ML*Rs. 9,500
Chivas Regal 25yrs 700ML*Rs. 36,000
Chivas Regal Extra 1L*Rs. 7,500
Chivas Regal Ultis 750ML*Rs. 23,500
Chivas Regal XV 15yrs 1L*Rs. 10,200
Clynelish 14yrs 750ML*Rs. 7,000
Dewar's 12yrs 1L*Rs. 5,960
Dimple Deluxe 15yrs 1L*Rs. 7,800
Glen Elgin 12yrs 750ML*Rs. 6,980
Glenfiddich 12yrs 750ML*Rs. 6,200
Glenfiddich 15yrs 1L*Rs. 10,020
Glenfiddich 15yrs 750ML*Rs. 8,860
Glenfiddich 18yrs 700ML*Rs. 12,355
Glenfiddich 19yrs 700ML*Rs. 18,830
Glenfiddich 21yrs 700ML*Rs. 23,165
Glenfiddich 26yrs 700ML*Rs. 55,500
Glenkinchie 12yrs 750ML*Rs. 6,420
Glenmorangie Lasanta 750ML*Rs. 8,380
Emperor 24 Carat 750ML*Rs. 1,200
Old Durbar Reserve 1L*Rs. 2,700
McDowell's Signature Premier Grain 1L*Rs. 2,200
Chivas Regal 12yrs 1L*Rs. 6,500
Johnnie Walker Double Black 1L*Rs. 7,400
Jack Daniel's 1L*Rs. 5,860
Dewar's White Label 1L*Rs. 4,630
Jameson 1L*Rs. 5,320
Glenfiddich 12yrs 1L*Rs. 7,840
The Glenlivet 12yrs 1L*Rs. 7,700
Teacher's 1L*Rs. 4,800
Ballantine's Finest 1L*Rs. 4,980
100 Pipers 1L*Rs. 4,320
100 Pipers 750ML*Rs. 3,100
Aberlour 12yrs 1L*Rs. 9,700
Aberlour 18yrs 700ML*Rs. 20,500
AC Black 750ML*Rs. 1,000
Antiquity Blue 750ML*Rs. 1,980
Ardbeg 10yrs 700ML*Rs. 7,900
Ardmore 1L*Rs. 9,080
Jack Daniel's 3L*Rs. 18,880
Jack Daniel's 500ML*Rs. 3,195
Jack Daniel's 750ML*Rs. 4,600
Jack Daniel's Fire 750ML*Rs. 4,765
Jack Daniel's Gentleman Jack 750ML*Rs. 5,220
Jack Daniel's Honey 1L*Rs. 6,315
Jack Daniel's Honey 700ML*Rs. 4,800
Jack Daniel's No. 27 Gold Label 700ML*Rs. 12,430
Jack Daniel's Sinatra Select 1L*Rs. 23,500
Jack Daniel's Single Barrel 750ML*Rs. 6,875
Bowmore 15yrs 700ML*Rs. 10,970
Bowmore 18yrs 700ML*Rs. 14,240
Bushmills Irish Black Bush 700ML*Rs. 5,200
Bushmills Irish Original 1L*Rs. 5,475
Bushmills Irish Single Malt 10yrs 700ML*Rs. 5,850
Canadian Club 1L*Rs. 4,530
Caol Ila 12yrs 750ML*Rs. 7,430
Cardhu Malt 12yrs 1L*Rs. 8,000
Chivas Regal 12yrs 4.5L*Rs. 30,000
Chivas Regal 12yrs 500ML*Rs. 3,500
Ballantine's 12yrs 1L*Rs. 6,650
Ballantine's 17yrs 750ML*Rs. 9,250
Ballantine's 21yrs 700ML*Rs. 16,200
Ballantine's Finest 2L*Rs. 10,500
Ballantine's Finest 3L*Rs. 16,500
Ballantine's Finest 500ML*Rs. 2,680
Ballantine's Finest 750ML*Rs. 3,990
Black & White 1L*Rs. 4,660
Black Oak 750ML*Rs. 1,000
Blenders Pride 750ML*Rs. 1,400
Johnnie Walker Black Label 750ML*Rs. 5,280
Johnnie Walker Black Label Sherry Edition 1L*Rs. 7,000
Johnnie Walker Blue Label 1L*Rs. 28,000
Johnnie Walker Blue Label 750ML*Rs. 23,150
Johnnie Walker Blue Label Nepal Edition 1L*Rs. 28,515
Johnnie Walker Double Black 750ML*Rs. 5,850
Johnnie Walker Gold Label 750ML*Rs. 7,630
Johnnie Walker Green Label 1L*Rs. 8,900
Johnnie Walker Green Label 750ML*Rs. 6,850
Johnnie Walker Odyssey 700ML*Rs. 125,700
Laphroaig Quarter Cask 700ML*Rs. 7,970
Longmorn 16yrs 700ML*Rs. 11,500
Maker's Mark 1L*Rs. 7,980
Master Selection 750ML*Rs. 2,900
McDowell's No.1 1L*Rs. 1,700
McDowell's No.1 750ML*Rs. 1,400
McDowell's Signature Premier Grain 750ML*Rs. 1,800
Monkey Shoulder 1L*Rs. 7,460
Monkey Shoulder 1L with Cage*Rs. 7,960
Old Durbar Black Chimney 1L*Rs. 3,700
Johnnie Walker Platinum Label 1L*Rs. 11,500
Johnnie Walker Platinum Label 750ML*Rs. 9,100
Johnnie Walker Red Label 1.75L*Rs. 8,850
Johnnie Walker Red Label 1L*Rs. 5,030
Johnnie Walker Red Label 375ML*Rs. 1,855
Johnnie Walker Red Label 750ML*Rs. 4,000
Johnnie Walker Swing 750ML*Rs. 6,975
Johnnie Walker White Walker 750ML*Rs. 5,400
Johnnie Walker XR 750ML*Rs. 15,200
Laphroaig 10yrs 1L*Rs. 10,220
Royal Stag 750ML*Rs. 1,100
Royal Treasure 750ML*Rs. 1,450
Singleton 12yrs 700ML*Rs. 6,000
Singleton 15yrs 700ML*Rs. 8,000
Singleton Signature 700ML*Rs. 5,950
Strathisla 12yrs 1L*Rs. 7,050
Suntory Old Whisky 700ML*Rs. 5,600
Talisker 10yrs 750ML*Rs. 7,550
Talisker 25yrs 700ML*Rs. 64,600
Talisker Storm 700ML*Rs. 7,200
Old Durbar Black Chimney 750ML*Rs. 2,850
Old Durbar Reserve 750ML*Rs. 2,080
Old Forester 750ML*Rs. 1,470
Passport Scotch 1L*Rs. 4,130
Passport Scotch 750ML*Rs. 3,110
Rockfort 750ML*Rs. 1,800
Royal Challenge 750ML*Rs. 1,495
Royal Salute 21yrs 1L*Rs. 26,000
Royal Salute 21yrs 700ML*Rs. 18,200
Royal Salute 38yrs Stone of Destiny 700ML*Rs. 80,000
Teacher's 750ML*Rs. 3,770
Teacher's Origin 1L*Rs. 5,470
Teacher's Single Malt 1L*Rs. 5,800
The Balvenie Caribbean Cask 14yrs 700ML*Rs. 11,575
The Balvenie Doublewood 12yrs 700ML*Rs. 8,230
The Balvenie Doublewood 17yrs 700ML*Rs. 20,180
The Glenlivet 12yrs 750ML*Rs. 5,600
The Glenlivet 15yrs 1L*Rs. 11,700
The Glenlivet 15yrs 700ML*Rs. 8,290
The Glenlivet 18yrs 1L*Rs. 17,500
Jameson 750ML*Rs. 4,250
Jim Beam Black 1L*Rs. 5,070
Jim Beam White 1L*Rs. 6,145
Jim Beam White 4.5L*Rs. 20,350
Johnnie Walker 18yrs 1L*Rs. 11,500
Johnnie Walker 18yrs 750ML*Rs. 9,100
Johnnie Walker Black Label 1.75L*Rs. 12,000
Johnnie Walker Black Label 1L*Rs. 6,370
Johnnie Walker Black Label 375ML*Rs. 2,735
Johnnie Walker Black Label 3L*Rs. 20,400
The Glenlivet 21yrs 700ML*Rs. 23,500
The Glenlivet 25yrs XXV 700ML*Rs. 50,000
The Glenlivet Founder's Reserve 1L*Rs. 7,000
The Himalayan Reserve 750ML*Rs. 2,800
Tullamore Dew Irish 1L*Rs. 6,140
Tullamore DEW Irish 700ML*Rs. 4,400
Tullamore DEW Malt 10yrs 700ML*Rs. 5,440
VAT 69 1L*Rs. 4,400
VAT 69 375ML*Rs. 1,595
VAT 69 750ML*Rs. 3,430
White Horse 1L*Rs. 4,200
White Horse 750ML*Rs. 3,200
Woodford Reserve 750ML*Rs. 6,090
Yamazakura Fine Blended 700ML*Rs. 4,950
Officer's Choice Blue 750ML*Rs. 1,270
Chivas Regal 12yrs 2L*Rs. 12,420
McDowell's Signature Rare Aged 1L*Rs. 2,100
McDowell's Signature Rare Aged 750ML*Rs. 1,700
Eristoff 750ML*Rs. 1,550
Ruslan Ultra 750ML*Rs. 1,750
8848 Vodka 750ML*Rs. 1,525
Grey Goose 1L*Rs. 7,600
Absolut Blue 1L*Rs. 4,850
Smirnoff Red 1L*Rs. 4,220
Smirnoff Gold 1L*Rs. 6,150
Ciroc 750ML*Rs. 5,300
Belvedere Citrus 700ML*Rs. 5,665
Finlandia Cranberry 750ML*Rs. 3,100
Fashion Vodka Premium Collection 1L*Rs. 2,585
Absolut Apple 1L*Rs. 4,950
Absolut Berri Acai 1L*Rs. 4,950
Absolut Citron 1L*Rs. 4,950
Absolut Elyx 1L*Rs. 6,550
Absolut Kurant 1L*Rs. 4,950
Absolut Mandrin 1L*Rs. 4,950
Absolut Mango 1L*Rs. 4,950
Absolut Pears 1L*Rs. 4,950
Absolut Peppar 1L*Rs. 4,950
Absolut Raspberri 1L*Rs. 4,950
Absolut Ruby Red 1L*Rs. 4,950
Absolut Vanilia 1L*Rs. 4,950
Belvedere Orange 700ML*Rs. 5,665
Belvedere Pure 700ML*Rs. 5,340
Excellence 750ML*Rs. 1,200
Finlandia Grapefruit 750ML*Rs. 2,810
Finlandia Lime 750ML*Rs. 2,810
Finlandia Mango 750ML*Rs. 2,810
Finlandia Regular 750ML*Rs. 3,100
Grey Goose 750ML*Rs. 6,080
Ruslan Gold 750ML*Rs. 2,150
Skyy Original 1L*Rs. 4,600
